ticker,name
AUXVND,AUSTRALIAN DOLLAR REFERENCE RATE / VIETNAMESE DONG
AUXXDR,AUSTRALIAN DOLLAR REFERENCE RATE / SPECIAL DRAWING RIGHT
AWGBRX,ARUBAN FLORIN / BRAZILIAN REAL REFERENCE RATE
BAMRSD,BOSNIAN CONVERTIBLE MARKA / SERBIAN DINAR
BBDBRX,BARBADIAN DOLLAR / BRAZILIAN REAL REFERENCE RATE
BBDGBP,BARBADIAN DOLLAR / BRITISH POUND
BDTBRX,BANGLADESHI TAKA / BRAZILIAN REAL REFERENCE RATE
BDTCAD,BANGLADESHI TAKA / CANADIAN DOLLAR
BDTCHF,BANGLADESHI TAKA / SWISS FRANC
BDTEUR,BANGLADESHI TAKA / EURO
BDTGBP,BANGLADESHI TAKA / BRITISH POUND
BDTHKD,BANGLADESHI TAKA / HONG KONG DOLLAR
BDTJPY,BANGLADESHI TAKA / JAPANESE YEN
BDTSGD,BANGLADESHI TAKA / SINGAPORE DOLLAR
BDTTHX,BANGLADESHI TAKA / THAI BAHT REFERENCE RATE
BDTUSD,BANGLADESHI TAKA / U.S. DOLLAR
BGNBRX,BULGARIAN LEV / BRAZILIAN REAL REFERENCE RATE
BGNCHF,BULGARIAN LEV / SWISS FRANC
BGNCZX,BULGARIAN LEV / CZECH KORUNA REFERENCE RATE
BGNDKX,BULGARIAN LEV / DKX
BGNEUR,BULGARIAN LEV / EURO
BGNGBP,BULGARIAN LEV / BRITISH POUND
BGNHUX,BULGARIAN LEV / HUNGARIAN FORINT REFERENCE RATE
BGNISX,BULGARIAN LEV / ICELANDIC KRONA REFERENCE RATE
BGNNOX,BULGARIAN LEV / NOX
BGNPLX,BULGARIAN LEV / POLISH ZLOTY REFERENCE RATE
BGNRSD,BULGARIAN LEV / SERBIAN DINAR
BGNUSD,BULGARIAN LEV / U.S. DOLLAR
BHDBRX,BAHRAINI DINAR / BRAZILIAN REAL REFERENCE RATE
BHDCHF,BAHRAINI DINAR / SWISS FRANC
BHDEUR,BAHRAINI DINAR / EURO
BHDGBP,BAHRAINI DINAR / BRITISH POUND
BHDHKD,BAHRAINI DINAR / HONG KONG DOLLAR
BHDJPY,BAHRAINI DINAR / JAPANESE YEN
BHDNZD,BAHRAINI DINAR / NEW ZEALAND DOLLAR
BHDOMR,BAHRAINI DINAR / OMANI RIAL
BHDPKR,BAHRAINI DINAR / PAKISTANI RUPEE
BHDQAR,BAHRAINI DINAR / QATARI RIAL
